respondent_id,question_id,statement,response,response_num
1,Q1,I have the resources I need to do my job well,Neutral,3
1,Q2,I feel safe and comfortable in my workplace,Strongly Agree,5
1,Q3,I feel valued for the work I do,Neutral,3
1,Q4,I receive constructive feedback that helps me improve,Disagree,2
1,Q5,There is a clear path for career advancement here,Agree,4
1,Q6,My team works well together,Strongly Disagree,1
1,Q7,People here treat each other with respect,Strongly Agree,5
1,Q8,The culture at this organization aligns with my values,Agree,4
2,Q1,I have the resources I need to do my job well,Disagree,2
2,Q2,I feel safe and comfortable in my workplace,Strongly Agree,5
2,Q3,I feel valued for the work I do,Neutral,3
2,Q4,I receive constructive feedback that helps me improve,Neutral,3
2,Q5,There is a clear path for career advancement here,Neutral,3
2,Q6,My team works well together,Strongly Agree,5
2,Q7,People here treat each other with respect,Agree,4
2,Q8,The culture at this organization aligns with my values,Agree,4
3,Q1,I have the resources I need to do my job well,Neutral,3
3,Q2,I feel safe and comfortable in my workplace,Agree,4
3,Q3,I feel valued for the work I do,Neutral,3
3,Q4,I receive constructive feedback that helps me improve,Disagree,2
3,Q5,There is a clear path for career advancement here,Strongly Disagree,1
3,Q6,My team works well together,Agree,4
3,Q7,People here treat each other with respect,Strongly Agree,5
3,Q8,The culture at this organization aligns with my values,Strongly Agree,5
4,Q1,I have the resources I need to do my job well,Strongly Disagree,1
4,Q2,I feel safe and comfortable in my workplace,Strongly Agree,5
4,Q3,I feel valued for the work I do,Strongly Disagree,1
4,Q4,I receive constructive feedback that helps me improve,Agree,4
4,Q5,There is a clear path for career advancement here,Disagree,2
4,Q6,My team works well together,Strongly Agree,5
4,Q7,People here treat each other with respect,Agree,4
4,Q8,The culture at this organization aligns with my values,Strongly Agree,5
5,Q1,I have the resources I need to do my job well,Disagree,2
5,Q2,I feel safe and comfortable in my workplace,Strongly Agree,5
5,Q3,I feel valued for the work I do,Disagree,2
5,Q4,I receive constructive feedback that helps me improve,Strongly Disagree,1
5,Q5,There is a clear path for career advancement here,Disagree,2
5,Q6,My team works well together,Strongly Agree,5
5,Q7,People here treat each other with respect,Strongly Agree,5
5,Q8,The culture at this organization aligns with my values,Strongly Agree,5
6,Q1,I have the resources I need to do my job well,Disagree,2
6,Q2,I feel safe and comfortable in my workplace,Agree,4
6,Q3,I feel valued for the work I do,Neutral,3
6,Q4,I receive constructive feedback that helps me improve,Strongly Disagree,1
6,Q5,There is a clear path for career advancement here,Strongly Disagree,1
6,Q6,My team works well together,Strongly Agree,5
6,Q7,People here treat each other with respect,Agree,4
6,Q8,The culture at this organization aligns with my values,Neutral,3
7,Q1,I have the resources I need to do my job well,Neutral,3
7,Q2,I feel safe and comfortable in my workplace,Neutral,3
7,Q3,I feel valued for the work I do,Neutral,3
7,Q4,I receive constructive feedback that helps me improve,Disagree,2
7,Q5,There is a clear path for career advancement here,Strongly Disagree,1
7,Q6,My team works well together,Agree,4
7,Q7,People here treat each other with respect,Strongly Agree,5
7,Q8,The culture at this organization aligns with my values,Strongly Disagree,1
8,Q1,I have the resources I need to do my job well,Neutral,3
8,Q2,I feel safe and comfortable in my workplace,Agree,4
8,Q3,I feel valued for the work I do,Neutral,3
8,Q4,I receive constructive feedback that helps me improve,Disagree,2
8,Q5,There is a clear path for career advancement here,Disagree,2
8,Q6,My team works well together,Neutral,3
8,Q7,People here treat each other with respect,Strongly Agree,5
8,Q8,The culture at this organization aligns with my values,Strongly Agree,5
9,Q1,I have the resources I need to do my job well,Disagree,2
9,Q2,I feel safe and comfortable in my workplace,Strongly Agree,5
9,Q3,I feel valued for the work I do,Neutral,3
9,Q4,I receive constructive feedback that helps me improve,Neutral,3
9,Q5,There is a clear path for career advancement here,Disagree,2
